date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:19	448773/448773	---MC-	200	added ('OK')	image/png	date:Tue,%2022%20Sep%202020%2002:32:19%20GMT	https://w.ladicdn.com/s550x600/5c113e00f5d1592491ee50b4/cobo-20200610030259-20200724084802.png	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s550x600/5c113e00f5d1592491ee50b4/cobo-20200610030259-20200724084802.png	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:19	8868/8868	---MC-	200	added ('OK')	image/png	date:Tue,%2022%20Sep%202020%2002:32:19%20GMT	https://w.ladicdn.com/s350x350/5c113e00f5d1592491ee50b4/18-20200724085417.png	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s350x350/5c113e00f5d1592491ee50b4/18-20200724085417.png	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:19	516179/516179	---MC-	200	added ('OK')	image/png	date:Tue,%2022%20Sep%202020%2002:32:19%20GMT	https://w.ladicdn.com/s550x600/5c113e00f5d1592491ee50b4/10-hop-20200712012936-20200724084803.png	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s550x600/5c113e00f5d1592491ee50b4/10-hop-20200712012936-20200724084803.png	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:19	667619/667619	---MC-	200	added ('OK')	image/png	date:Tue,%2022%20Sep%202020%2002:32:19%20GMT	https://w.ladicdn.com/s750x550/5c113e00f5d1592491ee50b4/901-20200824043301-20200916092018.png	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s750x550/5c113e00f5d1592491ee50b4/901-20200824043301-20200916092018.png	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:20	84256/84256	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2022%20Sep%202020%2002:32:20%20GMT	https://w.ladicdn.com/s650x900/5c113e00f5d1592491ee50b4/077529156a9f97c1ce8e-20200703041923-20200725042405.jpg	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s650x900/5c113e00f5d1592491ee50b4/077529156a9f97c1ce8e-20200703041923-20200725042405.jpg	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:20	3101/3101	---MC-	200	added ('OK')	image/png	date:Tue,%2022%20Sep%202020%2002:32:20%20GMT	https://w.ladicdn.com/s750x450/5c113e00f5d1592491ee50b4/danh-gia-20190918041443-1-20200512094914.png	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s750x450/5c113e00f5d1592491ee50b4/danh-gia-20190918041443-1-20200512094914.png	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:20	44936/44936	---MC-	200	added ('OK')	image/gif	date:Tue,%2022%20Sep%202020%2002:32:20%20GMT	https://w.ladicdn.com/5c113e00f5d1592491ee50b4/elastichalfabyssiniancat-size_restricted-20200512095446.gif	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/5c113e00f5d1592491ee50b4/elastichalfabyssiniancat-size_restricted-20200512095446.gif	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:20	55948/55948	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2022%20Sep%202020%2002:32:20%20GMT	https://w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/img_2447-min-20191126072823-20200513030051.jpg	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/img_2447-min-20191126072823-20200513030051.jpg	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:20	246647/246647	---MC-	200	added ('OK')	image/png	date:Tue,%2022%20Sep%202020%2002:32:20%20GMT	https://w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/dep-da-20200519180543-20200609090909.png	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/dep-da-20200519180543-20200609090909.png	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:21	39635/39635	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2022%20Sep%202020%2002:32:21%20GMT	https://w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/45158366_2218611325130992_5299248757110472704_n-1545292853-20200513031216.jpg	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/45158366_2218611325130992_5299248757110472704_n-1545292853-20200513031216.jpg	(from https://sitokata.detoxcantay.online/botcantayf99)
